COLUMN NAME,COLUMN TYPE,BASIC,V2,V3,?
DTW,Target Variable (Preferred),Y,,,
"Won (1=Won, 0=Lost)",Target Variable,,,,
PRB,Target Variable,,,,
BFSP%,Target Variable,,,,
Distance (y),Race Level,Y,,,
Race Type,Race Level,,,,
Runners,Race Level,,,,
Class,Race Level,Y,,,
Going,Race Level,,,,
Course_Chelmsford City,Race Level,Y,,,
Course_Kempton,Race Level,Y,,,
Course_Lingfield,Race Level,Y,,,
Course_Newcastle,Race Level,Y,,,
Course_Southwell,Race Level,Y,,,
Course_Wolverhampton,Race Level,Y,,,
HCP,Race Level,FILTER TO HCP = 1,,,
PPI,Race Level,,,,
Draw,Horse Level,,,,
Draw IV,Horse Level,Y,,,
Age,Horse Level,,,,
Weight (pounds),Horse Level,,,,
DSLR,Horse Level,,,,
Sex Abbrev,Horse Level,,,,
PRC Average,Horse Level,,,,
PRC Last Run,Horse Level,,,,
PRC 2nd Last Run,Horse Level,,,,
PRC 3rd Last Run,Horse Level,,,,
Pace Rating,Horse Level,,,,
Pace Rating Rank,Horse Level,,,,
OR Rank,Horse Level,,,,
Trn Stats,Horse Level,Y,,,
Trainer Stats Rank,Horse Level,,,,
Jky Stats,Horse Level,Y,,,
Jockey Stats Rank,Horse Level,,,,
TrnJky Stats,Horse Level,,,,
Trainer/Jky Stats Rank,Horse Level,,,,
Hrs Stats,Horse Level,,,,
Horse Stats Rank,Horse Level,,,,
HA Career Speed Rating,Horse Level,,,,
HA Career Speed Rating Rank,Horse Level,,,,
HA Last 1 Year Speed Rating,Horse Level,,,,
HA Last 1 Year Speed Rating Rank,Horse Level,,,,
MR Career Speed Rating,Horse Level,,,,
MR Career Speed Rating Rank,Horse Level,,,,
MR Last 1 Year Speed Rating,Horse Level,,,,
MR Last 1 Year Speed Rating Rank,Horse Level,,,,
MR Last 3 Runs Speed Rating,Horse Level,Y,,,
MR Last 3 Runs Speed Rating Rank,Horse Level,,,,
LTO Speed Rating,Horse Level,Y,,,
LTO Speed Rating Rank,Horse Level,,,,
2nd LTO Speed Rating,Horse Level,,,,
2nd LTO Speed Rating Rank,Horse Level,,,,
3rd LTO Speed Rating,Horse Level,,,,
3rd LTO Speed Rating Rank,Horse Level,,,,
4th LTOt Speed Rating,Horse Level,,,,
4th LTO Speed Rating Rank,Horse Level,,,,
Race Type LTO,Horse Level,,,,
Runs Before,Horse Level,,,,
Won Before,Horse Level,,,,
Class LTO (Same Code),Horse Level,,,,
FinPos LTO (Same Code),Horse Level,,,,
FLAT TURF Runs Before,Horse Level,,,,
FLAT AW Runs Before,Horse Level,,,,
FLAT TURF Wins Before,Horse Level,,,,
FLAT AW Wins Before,Horse Level,,,,
All PRB,Horse Level,,,,
Today's Going Wins,Horse Level,,,,
Today's Going Places,Horse Level,,,,
Today's Going Runs,Horse Level,,,,
Today's Going PRB,Horse Level,,,,
Today's Distance Wins,Horse Level,,,,
Today's Distance Places,Horse Level,,,,
Today's Distance Runs,Horse Level,,,,
Today's Distance PRB,Horse Level,,,,
Today's Class Wins,Horse Level,,,,
Today's Class Places,Horse Level,,,,
Today's Class Runs,Horse Level,,,,
Today's Class PRB,Horse Level,,,,
Today's Course Wins,Horse Level,,,,
Today's Course Places,Horse Level,,,,
Today's Course Runs,Horse Level,,,,
Today's Course PRB,Horse Level,Y,,,
Number of Runners LTO (Same Code),Horse Level,,,,
Actual Going LTO,Horse Level,,,,
Today Pace IV,Horse Level,,,,
LTO Pace IV,Horse Level,,,,
Equip Change,Horse Level,,,,
Distance v LTO,Horse Level,,,,
DTW LTO Hcp,Horse Level,,,,
Market LTO Hcp,Horse Level,,,,
Race Time,Not required for Training,,,,
Position,Not required for Training,,,,
Distance To Winner LTO (Same Code),Not required for Training,,,,
BFSP% LTO,Not required for Training,,,,
HCP LTO,Not required for Training,,,,
